Pitx1	Fshb
Pitx1	Lhb
Pitx1	Tbx1
Pitx1	Tbx4
Pitx1	Tert
Pitx2	Bmp4
Pitx2	Depdc1b
Pitx2	Fshb
Pitx2	Gad1
Pitx2	Gata4
Pitx2	Hesx1
Pitx2	Isl1
Pitx2	Mef2c
Pitx2	Mga
Pitx2	Plod1
Pitx2	Tbx1
Pitx2	Tbx15
Pitx2	Tbx2
Pitx2	Tbx4
Pitx2	Tbx5
Pitx2	Tpt1
Plag1	Egr1
Plag1	Nkx3-1
Plag1	Tnfrsf10b
Pou1f1	C1qtnf3
Pou1f1	Gh
Pou1f1	Ghr
Pou1f1	Neurod4
Pou1f1	Prl
Pou1f1	Trh
Pou1f1	Tshb
Pou4f3	Myo6
Ppard	Angptl4
Ppard	Foxo1
Ppard	Gys2
Ppard	Insig1
Ppard	Lpl
Ppard	Pdk4
Ppard	Pparg
Ppard	Slc25a20
Ppard	Sp1
Ppard	Tgfb1
Ppard	Ucp3
Pparg	Adipoq
Pparg	Angptl4
Pparg	Atp2a2
Pparg	C1qtnf3
Pparg	Cat
Pparg	Cav1
Pparg	Cidec
Pparg	Cops5
Pparg	Csf1
Pparg	Dbi
Pparg	Egr1
Pparg	Fabp4
Pparg	Fgf1
Pparg	Gys2
Pparg	Hgf
Pparg	Il2
Pparg	Insr
Pparg	Klf5
Pparg	Lipe
Pparg	Muc1
Pparg	Paqr7
Pparg	Plin1
Pparg	Plin2
Pparg	Plin4
Pparg	Plin5
Pparg	Ptgs2
Pparg	Retn
Pparg	Scarb1
Pparg	Scnn1g
Pparg	Serpine1
Pparg	Slc27a1
Pparg	Sorbs1
Pparg	Tmem159
Pparg	Ucp1
Pparg	Ucp2
Pparg	Ucp3
Ppargc1b	Mfn2
Prdm16	Pparg
Prdm16	Rbl1
Prdm5	Col1a1
Prop1	Fshb
Prop1	Notch2
Prrx1	Tgfb3
Prrx1	Tnc
Prrx2	Tnc
Pttg1	Pttg1ip
Raf1	Mapk1
Rbl1	Alpl
Rbl1	Fgf2
Rbl1	Hes1
Rbl1	Mycn
Rfx1	Fgf1
Rfx1	Map1a
Runx1t1	Tcf12
Runx2	Alpl
Runx2	Asrgl1
Runx2	Atf6
Runx2	Bglap
Runx2	Bglap2
Runx2	Bmp2
Runx2	Col10a1
Runx2	Col1a1
Runx2	Col1a2
Runx2	Col2a1
Runx2	Crebzf
Runx2	Ddx5
Runx2	Dkk1
Runx2	Dspp
Runx2	Elanee
Runx2	Enpp1
Runx2	Fgr18
Runx2	Fgf18
Runx2	Fgf3
Runx2	Gdf10
Runx2	Gja3
Runx2	Hbegf
Runx2	Hes1
Runx2	Ibsp
Runx2	Ifi204
Runx2	Ihh
Runx2	Ikzf1
Runx2	Lgals3
Runx2	Mcm3
Runx2	Mgp
Runx2	Mmp13
Runx2	Nr2f2
Runx2	Olfr17
Runx2	Osr1
Runx2	Panx3
Runx2	Pparg
Runx2	Pttg1ip
Runx2	Shox2
Runx2	Smad6
Runx2	Smurf1
Runx2	Sox6
Runx2	Sp7
Runx2	Tcf7
Runx2	Tg
Runx2	Thbs1
Runx2	Tnfsf11
Runx2	Zfp64
Scx	Col2a1
Setbp1	Hoxa10
Shox2	Bmp4
Shox2	Hcn4
Shox2	Nkx2-5
Sin3b	Bmi1
Sirt1	Abcb1a
Sirt1	Bclaf1
Sirt1	Crp
Sirt1	Dkk1
Sirt1	Hes1
Sirt1	Mmp13
Sirt1	Mmp9
Sirt1	Nox1
Sirt1	Hcrtr2
Sirt1	Parp1
Sirt1	Pparg
Sirt1	Retn
Sirt1	Rictor
Sirt1	Scnn1a
Sirt1	Shc1
Sirt1	Sirt6
Sirt1	Smad3
Sirt1	Timp1
Sirt1	Ucp2
Six2	Fgf8
Six2	Gdnf
Six2	Osr1
Six2	Zeb2
Skil	Adam12
Skil	Afp
Skil	Itch
Skil	Tpt1
Smad1	Bmp2
Smad1	Col1a1
Smad1	Col2a1
Smad1	Col4a1
Smad1	Col4a2
Smad1	Creld2
Smad1	Dsg4
Smad1	Hey1
Smad1	Hhex
Smad1	Id2
Smad1	Id3
Smad1	Ifi204
Smad1	Msx2
Smad1	Nkx2-5
Smad1	Ovol2
Smad1	Runx2
Smad1	Smad6
Smad1	Tbx20
Smad1	Tlx2
Smad1	Tnfrsf11b
Smad1	Tnfsf11
Smad2	Afp
Smad2	Becn1
Smad2	Dapk1
Smad2	Fbln5
Smad2	Foxp3
Smad2	Fshb
Smad2	Gadd45b
Smad2	Gsc
Smad2	H19
Smad2	Hes1
Smad2	Hoxd11
Smad2	Il2
Smad2	Il9
Smad2	Pparg
Smad2	Rgcc
Smad2	Skil
Smad2	Acta2
Smad3	Acta2
Smad3	Angptl2
Smad3	Ccl2
Smad3	Cldn3
Smad3	Col1a2
Smad3	Col2a1
Smad3	Ctgf
Smad3	Cxadr
Smad3	Dapk1
Smad3	Enpp1
Smad3	Fbln5
Smad3	Fn1
Smad3	Foxp3
